director_id,director_name
1,Charles L. Gaskill
2,Sidney Olcott
3,André Calmettes
4,James Keane
5,D.W. Griffith
6,Paul Wegener
7,Stellan Rye
8,George Loane Tucker
9,Reginald Barker
10,James Kirkwood
11,Sidney Drew
12,J. Farrell MacDonald
13,Lois Weber
14,Edward S. Curtis
15,Louis J. Gasnier
16,Donald MacKenzie
17,Oscar Apfel
18,Cecil B. DeMille
19,Edwin S. Porter
20,Mack Sennett
21,Charles Bennett
22,Maurice Tourneur
23,W.W. Young
24,Thomas H. Ince
25,Frank Powell
26,Christy Cabanne
27,Edgar Lewis
28,Raoul Walsh
29,George Melford
30,Stuart Paton
31,Chester M. Franklin
32,Sidney Franklin
33,Chester Withey
34,Allan Dwan
35,Charles Swickard
36,William S. Hart
37,John Emerson
38,Lloyd Ingraham
39,Paul Powell
40,Arthur Berthelet
41,J. Searle Dawley
42,Phillips Smalley
43,Ruth Ann Baldwin
44,John Ford
45,J. Gordon Edwards
46,Joseph Levering
47,Marshall Neilan
48,George Irving
49,William Desmond Taylor
50,Ida May Park
51,Joseph Maxwell
52,F. Richard Jones
53,James Young
54,Walter Edwards
55,Albert Parker
56,Charles Chaplin
57,Alan Crosland
58,Richard Oswald
59,Irvin Willat
60,Erich von Stroheim
61,Jerome Storm
62,Robert Z. Leonard
63,James Cruze
64,Joseph De Grasse
65,Raymond Longford
66,Victor Fleming
67,Tod Browning
68,John S. Robertson
69,Lawrence C. Windom
70,King Vidor
71,Clarence Brown
72,Leon D'Usseau
73,John Francis Dillon
74,Lambert Hillyer
75,Robert F. Hill
76,Scott Sidney
77,Max Linder
78,George D. Baker
79,Ray C. Smallwood
80,Maurice Campbell
81,Robert G. Vignola
82,Roscoe 'Fatty' Arbuckle
83,Alfred E. Green
84,Jack Pickford
85,Frances Marion
86,Albert Austin
87,Victor Heerman
88,Theodore Reed
89,Fred C. Newmeyer
90,Fred Niblo
91,George Terwilliger
92,Sam Taylor
93,Edward D. Venturini
94,Burton L. King
95,Rupert Julian
96,Frank Lloyd
97,Tom Forman
98,Lynn Reynolds
99,Robert Thornby
100,Harry B. Parkinson
101,Harry Houdini
102,John G. Blystone
103,Buster Keaton
104,Ernst Lubitsch
105,Abel Gance
106,Rex Ingram
107,Rupert Hughes
108,Henry King
109,Edward F. Cline
110,Henry Otto
111,Mary Pickford
112,William A. Seiter
113,Victor Sjöström
114,E. Mason Hopper
115,Paul Bern
116,Frank Borzage
117,Graham Cutts
118,Oscar Micheaux
119,Alan Hale
120,Noel M. Smith
121,Joseph Henabery
122,Donald Crisp
123,Monta Bell
124,William Beaudine
125,David Butler
126,Roland West
127,Clarence G. Badger
128,Wesley Ruggles
129,Alfred Hitchcock
130,Walter Lang
131,Dorothy Davenport
132,Edmund Goulding
133,Leander De Cordova
134,G.B. Samuelson
135,King Baggot
136,George B. Seitz
137,George Chesebro
138,Bruce Mitchell
139,George W. Hill
140,Herbert Brenon
141,Charles Reisner
142,William A. Wellman
143,Jack Conway
144,Paul Sloane
