imdb_title_id,title_name,duration,budget,worldwide_gross_income
tt0002101,Cleopatra,100,45000,0
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",60,0,0
tt0002461,Richard III,55,30000,0
tt0003167,Amore di madre,55,0,0
tt0003419,Lo studente di Praga,85,0,0
tt0003471,Traffic in Souls,88,5700,0
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',78,0,0
tt0003657,The Bargain,70,0,0
tt0003772,Cinderella,52,0,0
tt0003973,A Florida Enchantment,63,0,0
tt0004099,"His Majesty, the Scarecrow of Oz",59,23500,0
tt0004134,Hypocrites,54,0,0
tt0004150,In the Land of the Head Hunters,65,0,0
tt0004181,Judith of Bethulia,61,40000,0
tt0004457,The Patchwork Girl of Oz,81,0,0
tt0004465,The Perils of Pauline,199,25000,0
tt0004635,The Squaw Man,74,20000,0
tt0004681,La madonnina del porto,80,10000,0
tt0004707,Tillie's Punctured Romance,82,50000,0
tt0004766,The Virginian,55,17022,0
tt0004825,The Wishing Ring: An Idyll of Old England,54,0,0
tt0004838,The Wrath of the Gods,56,0,0
tt0004872,Alias Jimmy Valentine,65,0,0
tt0004873,Alice in Wonderland,52,50000,0
tt0005060,Carmen,59,23430,0
tt0005078,The Cheat,59,17311,0
tt0005149,The Coward,77,18000,0
tt0005339,La vampira,67,0,0
tt0005402,The Golden Chance,74,18711,0
tt0005557,The Italian,72,0,0
tt0005719,Martyrs of the Alamo,71,0,0
tt0005809,The Nigger,50,0,0
tt0005960,La rigenerazione,72,0,0
tt0006327,Young Romance,59,0,0
tt0006333,"20,000 Leagues Under the Sea",105,200000,0
tt0006509,The Children in the House,50,0,0
tt0006517,Civilization,85,0,0
tt0006589,The Devil's Needle,59,0,0
tt0006688,Flirting with Fate,57,0,0
tt0006731,Going Straight,60,0,0
tt0006736,The Good Bad-Man,50,0,0
tt0006745,Gretchen the Greenhorn,58,0,0
tt0006753,The Half-Breed,73,0,0
tt0006780,Hell's Hinges,64,0,0
tt0006809,His Picture in the Papers,62,42600,0
tt0006826,Hoodoo Ann,65,0,0
tt0006864,Intolerance,163,385907,0
tt0007047,The Matrimaniac,46,0,0
tt0007257,Reggie Mixes In,50,0,0
tt0007260,The Return of Draw Egan,50,0,0
tt0007338,Sherlock Holmes,116,0,0
tt0007340,Shoes,60,0,0
tt0007361,Snow White,63,0,0
tt0007367,The Social Secretary,52,0,0
tt0007558,Where Are My Children?,62,0,0
tt0007610,'49-'17,61,0,0
tt0007755,Bucking Broadway,53,0,0
tt0007801,Cleopatra,125,500000,0
tt0008150,Joan the Woman,138,302976,0
tt0008188,The Little American,80,166949,0
tt0008196,The Little Princess,62,0,0
tt0008309,A Modern Musketeer,68,0,0
tt0008443,The Poor Little Rich Girl,65,0,0
tt0008489,"Raffles, the Amateur Cracksman",70,0,0
tt0008499,Rebecca of Sunnybrook Farm,78,0,0
tt0008634,Straight Shooting,57,0,0
tt0008687,Tom Sawyer,59,0,0
tt0008775,Wild and Woolly,72,0,0
tt0008827,Amarilly of Clothes-Line Alley,67,0,0
tt0008891,L'uccello blu,75,0,0
tt0008930,Broadway Love,60,0,0
tt0009086,The Forbidden City,62,0,0
tt0009150,Cuori del mondo,117,0,0
tt0009241,Johanna Enlists,72,0,0
tt0009326,M'Liss,73,0,0
tt0009356,The Married Virgin,71,0,0
tt0009369,Mickey,93,125000,0
tt0009440,Old Wives for New,60,66241,0
tt0009475,A Pair of Silk Stockings,60,0,0
tt0009559,A Romance of Happy Valley,76,0,0
tt0009608,Shifting Sands,60,0,0
tt0009611,Charlot soldato,45,0,0
tt0009737,The Unbeliever,80,0,0
tt0009796,The Whispering Chorus,86,72500,0
tt0009878,Anders als die Andern,50,0,0
tt0009915,Behind the Door,70,0,0
tt0009937,Mariti ciechi,99,42000,0
tt0009976,The Busher,63,0,0
tt0010040,Daddy-Long-Legs,85,0,0
tt0010060,The Delicious Little Devil,63,0,0
tt0010103,Eyes of Youth,78,0,0
tt0010137,"For Better, for Worse",70,0,0
tt0010162,Getting Mary Married,65,0,0
tt0010193,The Greatest Question,80,0,0
tt0010195,The Grim Game,71,200000,0
tt0010219,Hawthorne of the U.S.A.,57,0,0
tt0010227,Heart o' the Hills,87,0,0
tt0010267,The Hoodlum,78,0,0
tt0010418,Male and Female,116,0,0
tt0010466,The Miracle Man,80,120000,0
tt0010635,The Roaring Road,58,0,0
tt0010662,Scarlet Days,77,0,0
tt0010680,The Sentimental Bloke,106,0,0
tt0010806,Amore sulle labbra,87,0,0
tt0010844,Victory,62,0,0
tt0010879,Quando le nuvole volano via,85,0,0
tt0010890,The Wicked Darling,59,0,0
tt0010925,Yankee Doodle in Berlin,58,0,0
tt0010964,April Folly,50,0,0
tt0011130,Dr. Jekyll e Mr. Hyde,69,0,0
tt0011193,The Flapper,88,0,0
tt0011267,Headin' Home,71,0,0
tt0011344,L'uomo dal coltello a serramanico,60,0,0
tt0011358,Just Pals,50,0,0
tt0011387,The Last of the Mohicans,73,0,0
tt0011415,The Love Flower,70,300000,0
