imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote
tt0002101,5.2,446,5.3,5.0
tt0002199,5.7,484,5.8,6.0
tt0002461,5.5,225,5.4,6.0
tt0003167,5.8,187,6.1,6.0
tt0003419,6.5,1768,6.5,7.0
tt0003471,6.0,552,6.0,6.0
tt0003643,6.4,1105,6.8,7.0
tt0003657,6.5,144,6.5,7.0
tt0003772,6.0,929,6.7,7.0
tt0003973,5.8,202,6.0,6.0
tt0004099,5.2,415,5.2,5.0
tt0004134,6.6,456,6.3,7.0
tt0004150,5.8,402,6.0,6.0
tt0004181,6.1,1239,7.2,7.0
tt0004457,5.5,382,5.6,6.0
tt0004465,6.3,939,7.5,8.0
tt0004635,5.7,879,6.1,6.0
tt0004681,6.1,178,6.4,6.0
tt0004707,6.3,3250,7.1,7.0
tt0004766,5.6,174,5.6,6.0
tt0004825,6.4,242,6.3,7.0
tt0004838,5.7,138,5.7,6.0
tt0004872,6.6,206,5.8,6.5
tt0004873,6.2,394,6.2,6.0
tt0005060,6.4,894,6.8,7.0
tt0005078,6.6,2305,6.3,7.0
tt0005149,6.0,244,6.1,6.0
tt0005339,5.8,783,6.0,6.0
tt0005402,6.4,187,6.5,7.0
tt0005557,6.6,293,6.5,7.0
tt0005719,5.6,138,5.9,6.0
tt0005809,6.1,300,7.0,10.0
tt0005960,6.8,1110,6.7,7.0
tt0006327,5.9,151,6.0,6.0
tt0006333,6.2,1501,6.9,7.0
tt0006509,4.5,559,6.5,7.0
tt0006517,6.0,283,6.1,6.0
tt0006589,6.8,123,7.1,7.0
tt0006688,6.4,143,6.4,6.0
tt0006731,5.3,609,6.4,7.0
tt0006736,6.6,166,6.6,7.0
tt0006745,5.7,479,6.5,7.0
tt0006753,6.6,147,6.8,7.0
tt0006780,6.8,836,6.5,7.0
tt0006809,5.9,127,6.0,6.0
tt0006826,5.6,837,6.7,7.0
tt0006864,7.8,13875,7.8,8.0
tt0007047,6.0,573,6.7,7.0
tt0007257,4.7,564,6.4,7.0
tt0007260,6.5,141,6.6,7.0
tt0007338,6.4,313,6.4,6.0
tt0007340,6.8,342,6.9,7.0
tt0007361,6.2,349,5.9,6.0
tt0007367,5.3,509,6.4,7.0
tt0007558,6.3,591,6.2,6.0
tt0007610,5.9,267,5.9,6.0
tt0007755,6.0,468,5.8,6.0
tt0007801,6.5,298,5.9,6.0
tt0008150,6.5,501,6.3,7.0
tt0008188,5.9,608,6.5,7.0
tt0008196,5.7,638,6.6,7.0
tt0008309,6.7,257,6.6,7.0
tt0008443,6.7,1266,6.8,7.0
tt0008489,6.4,130,6.8,7.0
tt0008499,6.1,770,7.0,8.0
tt0008634,6.2,372,6.2,6.0
tt0008687,6.1,140,6.3,6.0
tt0008775,6.4,557,6.8,7.0
tt0008827,5.8,740,6.6,7.0
